doc_type,start_date,end_date,reported_count,pulled_count,truncated
Inspection Report,2015-01-01,2015-12-31,1655,1000,True
Inspection Report,2015-01-01,2015-03-31,389,0,False
Inspection Report,2015-04-01,2015-06-30,433,0,False
Inspection Report,2015-07-01,2015-09-30,382,204,False
Inspection Report,2015-10-01,2015-12-31,451,451,False
Inspection Report,2016-01-01,2016-12-31,1913,1000,True
Inspection Report,2016-01-01,2016-03-31,448,0,False
Inspection Report,2016-04-01,2016-06-30,524,0,False
Inspection Report,2016-07-01,2016-09-30,535,507,False
Inspection Report,2016-10-01,2016-12-31,406,406,False
Inspection Report,2017-01-01,2017-12-31,1604,1000,True
Inspection Report,2017-01-01,2017-03-31,403,0,False
Inspection Report,2017-04-01,2017-06-30,431,0,False
Inspection Report,2017-07-01,2017-09-30,429,263,False
Inspection Report,2017-10-01,2017-12-31,341,341,False
Inspection Report,2018-01-01,2018-12-31,1666,1000,True
Inspection Report,2018-01-01,2018-03-31,387,0,False
Inspection Report,2018-04-01,2018-06-30,451,0,False
Inspection Report,2018-07-01,2018-09-30,420,258,False
Inspection Report,2018-10-01,2018-12-31,408,408,False
Inspection Report,2019-01-01,2019-12-31,1553,1000,True
Inspection Report,2019-01-01,2019-03-31,348,0,False
Inspection Report,2019-04-01,2019-06-30,417,0,False
Inspection Report,2019-07-01,2019-09-30,441,206,False
Inspection Report,2019-10-01,2019-12-31,347,347,False
Inspection Report,2020-01-01,2020-12-31,1058,1000,True
Inspection Report,2020-01-01,2020-03-31,302,0,False
Inspection Report,2020-04-01,2020-06-30,157,0,False
Inspection Report,2020-07-01,2020-09-30,260,0,False
Inspection Report,2020-10-01,2020-12-31,339,58,False
Inspection Report,2021-01-01,2021-12-31,1488,1000,True
Inspection Report,2021-01-01,2021-03-31,297,0,False
Inspection Report,2021-04-01,2021-06-30,374,0,False
Inspection Report,2021-07-01,2021-09-30,431,102,False
Inspection Report,2021-10-01,2021-12-31,386,386,False
Inspection Report,2022-01-01,2022-12-31,1625,1000,True
Inspection Report,2022-01-01,2022-03-31,409,0,False
Inspection Report,2022-04-01,2022-06-30,426,0,False
Inspection Report,2022-07-01,2022-09-30,413,248,False
Inspection Report,2022-10-01,2022-12-31,377,377,False
Inspection Report,2023-01-01,2023-12-31,1485,1000,True
Inspection Report,2023-01-01,2023-03-31,396,0,False
Inspection Report,2023-04-01,2023-06-30,361,0,False
Inspection Report,2023-07-01,2023-09-30,402,159,False
Inspection Report,2023-10-01,2023-12-31,326,326,False
Inspection Report,2024-01-01,2024-12-31,1351,1000,True
Inspection Report,2024-01-01,2024-03-31,322,0,False
Inspection Report,2024-04-01,2024-06-30,343,0,False
Inspection Report,2024-07-01,2024-09-30,358,23,False
Inspection Report,2024-10-01,2024-12-31,328,328,False
Inspection Report,2025-01-01,2025-12-31,1331,1000,True
Inspection Report,2025-01-01,2025-03-31,343,0,False
Inspection Report,2025-04-01,2025-06-30,364,0,False
Inspection Report,2025-07-01,2025-09-30,414,121,False
Inspection Report,2025-10-01,2025-12-31,210,210,False
Part 21 Correspondence,2015-01-01,2015-12-31,15,15,False
Part 21 Correspondence,2016-01-01,2016-12-31,3,3,False
Part 21 Correspondence,2017-01-01,2017-12-31,9,9,False
Part 21 Correspondence,2018-01-01,2018-12-31,2,2,False
Part 21 Correspondence,2019-01-01,2019-12-31,2,2,False
Part 21 Correspondence,2020-01-01,2020-12-31,2,2,False
Part 21 Correspondence,2021-01-01,2021-12-31,1,1,False
Part 21 Correspondence,2022-01-01,2022-12-31,0,0,False
Part 21 Correspondence,2023-01-01,2023-12-31,0,0,False
Part 21 Correspondence,2024-01-01,2024-12-31,2,2,False
Part 21 Correspondence,2025-01-01,2025-12-31,4,4,False
